Brokered by Douglas Elliman  -111 Fifth Ave	Condo for sale	315000	2	2	1400.000000	2 E 55th St Unit 803	New York, NY 10022	2 E 55th St Unit 803New York, NY 10022	New York County	New York	Manhattan	East 55th Street	Regis Residence	Regis Residence, 2 E 55th St #803, New York, NY 10022, USA	40.76125500	-73.97448340
Brokered by Serhant	Condo for sale	195000000	7	10	17545.000000	Central Park Tower Penthouse-217 W 57th New York St Unit Penthouse	New York, NY 10019	Central Park Tower Penthouse-217 W 57th New York St Unit PenthouseNew York, NY 10019	United States	New York	New York County	New York	West 57th Street	217 W 57th St, New York, NY 10019, USA	40.76639350	-73.98099090
Brokered by Sowae Corp	House for sale	260000	4	2	2015.000000	620 Sinclair Ave	Staten Island, NY 10312	620 Sinclair AveStaten Island, NY 10312	United States	New York	Richmond County	Staten Island	Sinclair Avenue	620 Sinclair Ave, Staten Island, NY 10312, USA	40.54180510	-74.19610860
Brokered by COMPASS	Condo for sale	69000	3	1	445.000000	2 E 55th St Unit 908W33	Manhattan, NY 10022	2 E 55th St Unit 908W33Manhattan, NY 10022	United States	New York	New York County	New York	East 55th Street	2 E 55th St, New York, NY 10022, USA	40.76139790	-73.97461280
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage	Townhouse for sale	55000000	7	2	14175.000000	5 E 64th St	New York, NY 10065	5 E 64th StNew York, NY 10065	United States	New York	New York County	New York	East 64th Street	5 E 64th St, New York, NY 10065, USA	40.76722350	-73.96985610
Brokered by Sowae Corp	House for sale	690000	5	2	4004.000000	584 Park Pl	Brooklyn, NY 11238	584 Park PlBrooklyn, NY 11238	United States	New York	Kings County	Brooklyn	Park Place	584 Park Pl, Brooklyn, NY 11238, USA	40.67436320	-73.95872480
Brokered by Douglas Elliman - 575 Madison Ave	Condo for sale	899500	2	2	2184.207862	157 W 126th St Unit 1B	New York, NY 10027	157 W 126th St Unit 1BNew York, NY 10027	New York	New York County	New York	Manhattan	157	157 W 126th St #1b, New York, NY 10027, USA	40.80944800	-73.94677700
Brokered by Connie Profaci Realty	House for sale	16800000	8	16	33000.000000	177 Benedict Rd	Staten Island, NY 10304	177 Benedict RdStaten Island, NY 10304	United States	New York	Richmond County	Staten Island	Benedict Road	177 Benedict Rd, Staten Island, NY 10304, USA	40.59500170	-74.10642350
Brokered by Pantiga Group Inc.	Co-op for sale	265000	1	1	750.000000	875 Morrison Ave Apt 3M	Bronx, NY 10473	875 Morrison Ave Apt 3MBronx, NY 10473	Bronx County	The Bronx	East Bronx	Morrison Avenue	Parking lot	Parking lot, 875 Morrison Ave #3m, Bronx, NY 10473, USA	40.82158570	-73.87408920
Brokered by CENTURY 21 MK Realty	Co-op for sale	440000	2	1	978.000000	1350 Ocean Pkwy Apt 5G	Brooklyn, NY 11230	1350 Ocean Pkwy Apt 5GBrooklyn, NY 11230	New York	Kings County	Brooklyn	Midwood	1350	1350 Ocean Pkwy #5g, Brooklyn, NY 11230, USA	40.61573780	-73.96969440
